,segment_id,segment_avg_logprob,segment_compression_ratio,segment_no_speech_prob,seek,start,end,temperature,text,tokens,nltk_opinion_lexicon_positive,nltk_opinion_lexicon_negative,nltk_opinion_lexicon_net,vader_neg,vader_neu,vader_pos,vader_compound
0,0,-0.2296248823404312,1.7941176891326904,0.026698922738432884,0,0.0,12.0,0.0," Мы с вами встречаемся 7 ноября, дата значимая и для нашей страны, да, можно сказать и для всего мира.","[50364, 12726, 776, 24166, 25669, 43768, 1614, 6035, 681, 1552, 22533, 11, 1070, 19808, 27605, 2165, 4251, 1006, 5561, 34670, 18057, 698, 11, 8995, 11, 8885, 20636, 1006, 5561, 15520, 41454, 13, 50964]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,-0.2296248823404312,1.7941176891326904,0.026698922738432884,0,12.0,22.0,0.0," Русская революция 1917 года, как в своё время нидерландская, английская, великая французская революция,","[50964, 6325, 7071, 28794, 1475, 3515, 1227, 1148, 17651, 42757, 18411, 11, 3014, 740, 6989, 2882, 12039, 757, 3586, 1135, 693, 12551, 28794, 11, 46611, 28794, 11, 740, 8334, 14801, 4394, 8575, 1814, 15687, 28794, 1475, 3515, 1227, 1148, 17651, 11, 51464]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,2,-0.16530075669288635,1.8583333492279053,0.49886780977249146,2200,22.0,38.0,0.0," стали в известной степени вехами в развитии человечества, во многом определили ход истории, характер политики, дипломатии, экономики и общественного устройства.","[50364, 39029, 740, 37073, 5007, 3266, 5018, 2495, 740, 8008, 5150, 740, 47359, 7347, 41365, 387, 12115, 11, 7900, 22287, 1253, 39305, 5435, 23571, 40203, 11, 46144, 45330, 15562, 11, 1070, 13306, 28209, 2134, 7347, 11, 41800, 15562, 1006, 48078, 12134, 4699, 48582, 12115, 13, 51164]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,3,-0.16530075669288635,1.8583333492279053,0.49886780977249146,2200,38.0,45.0,0.0," Нам с вами также выпало жить в эпоху кардинальных, по сути, революционных перемен.","[51164, 46147, 776, 24166, 16584, 21188, 12441, 40124, 740, 43985, 20976, 585, 13560, 856, 2599, 30834, 11, 2801, 18272, 3396, 11, 1475, 3515, 1227, 1148, 21964, 5783, 35903, 1008, 13, 51514]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,4,-0.16396023333072662,1.8884758949279785,0.296735942363739,4500,45.0,53.0,0.0," Эти два десятилетия не просто были насыщены важнейшими, подчас драматическими событиями поистине исторического масштаба.","[50364, 5381, 3396, 18505, 45884, 2338, 1094, 7409, 1725, 8221, 14355, 6519, 698, 2000, 16148, 19491, 14418, 1198, 11426, 11, 4095, 8089, 1070, 15837, 2134, 9347, 44130, 42654, 31215, 2801, 9330, 20998, 18950, 47988, 21466, 43428, 3771, 386, 13, 50764]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,5,-0.16396023333072662,1.8884758949279785,0.296735942363739,4500,53.0,65.0,0.0," На наших глазах формируется совершенно новое мировое устройство, не похожее на то, что мы знаем из прошлого, например, вестфальскую или ялтинскую систему.","[50764, 11245, 41525, 27634, 7004, 4394, 1717, 6293, 2711, 7299, 37075, 10022, 5805, 1084, 10214, 5805, 48582, 9631, 11, 1725, 38862, 7752, 1470, 4572, 11, 2143, 4777, 45491, 3943, 48596, 2350, 11, 24044, 11, 740, 5740, 3619, 3842, 43159, 8101, 2552, 693, 403, 2599, 43159, 21351, 8339, 13, 51364]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,6,-0.16036708652973175,1.8156996965408325,0.7295686602592468,6500,65.0,77.0,0.0," Поднимаются новые державы. Народы чётче и яснее осознают свои интересы, свою самоценность, самобытность и идентичность.","[50364, 23120, 8444, 15955, 39232, 27565, 1828, 698, 13, 2410, 2222, 40445, 1358, 11950, 32595, 1006, 2552, 461, 15627, 8940, 3434, 1931, 7329, 25375, 15033, 698, 11, 23069, 43745, 1814, 6855, 3167, 11, 5602, 6379, 403, 9930, 1006, 17255, 50091, 753, 9930, 13, 50964]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,7,-0.16036708652973175,1.8156996965408325,0.7295686602592468,6500,77.0,82.0,0.0, Всё твёрже настаивают на достижении целей развития и справедливости.,"[50964, 29661, 1069, 859, 24134, 4757, 1470, 11459, 36603, 1470, 46630, 1820, 15573, 5188, 19695, 47359, 7409, 1006, 31853, 2229, 36719, 4756, 13, 51214]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,8,-0.16036708652973175,1.8156996965408325,0.7295686602592468,6500,82.0,87.0,0.0," Я пользуюсь случаем, хочу поздравить его с избранием на пост президента Соединённых Штатов Америки.","[51214, 4857, 30419, 3924, 6131, 14002, 7906, 11, 22168, 12188, 856, 5608, 3258, 6448, 776, 38995, 481, 32861, 1470, 27877, 49529, 31985, 40156, 30741, 22212, 5783, 18428, 403, 48885, 3450, 12676, 15562, 13, 51464]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,9,-0.14477060735225677,1.6035503149032593,0.7960906624794006,8700,87.0,97.0,0.0," Я уже говорил, что мы будем работать с любым главой государства, которому окажут доверие американские народы. Так будет действительно и на практике.","[50364, 4857, 7520, 39801, 11, 2143, 4777, 23213, 33637, 776, 9875, 11250, 18539, 1700, 42950, 12115, 11, 4388, 4161, 11423, 3234, 3767, 20124, 1135, 5299, 34958, 15720, 12338, 32583, 698, 13, 8770, 7306, 27208, 1006, 1470, 27109, 8222, 13, 50864]",0.0,0.0,0.0,0.0,1.0,0.0,0.0
